date,ticker,side,shares,price,notional,slippage_cost,signal_date
2023-11-03,GILD,BUY,1219.5121951219512,82.082,100099.99999999999,100.0,2023-11-02
2023-11-03,VZ,BUY,1341.0093535476092,36.02599168014526,48311.19181390314,48.26292888501813,2023-11-02
2023-11-03,UNH,BUY,187.06623759261828,535.1045773315429,100100.0,100.0,2023-11-02
2023-11-03,CME,BUY,470.920636334959,212.56235610961915,100100.00000000001,100.0,2023-11-02
2023-11-03,LLY,BUY,94.33656417265337,579.008422668457,54621.665221569696,54.56709812344625,2023-11-02
2023-11-03,MCK,BUY,223.24418327224686,448.38794244384763,100100.0,100.0,2023-11-02
2023-11-03,NOC,BUY,95.77425314909722,476.27578778076173,45614.95786770038,45.56938847922116,2023-11-02
2023-11-03,AMGN,BUY,258.9934865658081,268.78850900268554,69614.47309543063,69.54492816726336,2023-11-02
2023-11-03,PGR,BUY,378.7510124272694,159.26911061096192,60323.33689229259,60.26307381847411,2023-11-02
2023-11-03,REGN,BUY,116.16958382263174,838.9981331176758,97466.06395224539,97.36869525698839,2023-11-02
2023-11-06,GILD,BUY,713.137779406203,81.75166816711426,58300.203099448634,58.24196113831032,2023-11-03
2023-11-06,UNH,BUY,109.83107525886237,532.1616348876953,58447.884571229704,58.38949507615355,2023-11-03
2023-11-06,CB,BUY,626.995437918869,220.12991366577148,138020.45161791323,137.88256904886435,2023-11-03
2023-11-06,REGN,SELL,116.16958382263174,822.3168746337891,95528.20909653451,95.62383292946399,2023-11-03
2023-11-06,NOC,BUY,54.92486169435351,473.0926151123047,25984.54645366335,25.958587865797554,2023-11-03
2023-11-06,VZ,BUY,800.1978814590013,36.01597954177856,28819.91052800194,28.79111940859335,2023-11-03
2023-11-06,CI,BUY,444.44021615415454,311.50119244384763,138443.65730202053,138.30535195007047,2023-11-03
2023-11-06,LLY,BUY,66.17609056684671,571.6710755615235,37830.95687080605,37.79316370709895,2023-11-03
2023-11-06,CME,BUY,284.43691922379026,209.16896672058107,59495.37649122559,59.435940550674914,2023-11-03
2023-11-06,MCK,BUY,125.57243524913781,452.9525,56878.34847718509,56.82152695023486,2023-11-03
2023-11-06,AMGN,BUY,144.28217255774678,271.04075900268555,39106.349560608134,39.067282278329806,2023-11-03
2023-11-06,PGR,BUY,210.30239227090124,157.46730755615235,33115.7514835166,33.082668814701904,2023-11-03
2023-11-07,GILD,SELL,1932.6499745281542,80.9889296951294,156523.2529123543,156.6799328451995,2023-11-06
2023-11-07,UNH,BUY,89.6203559287116,535.895345336914,48027.13158963405,47.97915243719686,2023-11-06
2023-11-07,CB,BUY,198.28471371234593,219.3491348876953,43493.58041425741,43.450130283973444,2023-11-06
2023-11-07,VRTX,BUY,539.6667341623233,377.7573848876953,203863.0942080423,203.65943477326906,2023-11-06
2023-11-07,NOC,BUY,286.4994882268658,473.77328778076173,135735.80448474784,135.6002042804674,2023-11-06
2023-11-07,VZ,BUY,668.7762785107598,35.73570076370239,23899.188966723,23.875313653069934,2023-11-06
2023-11-07,CI,BUY,127.35106415334599,308.0177014465332,39226.38205728362,39.1871948624212,2023-11-06
2023-11-07,LLY,BUY,20.709333821043003,597.597,12375.835763453835,12.363472291162672,2023-11-06
2023-11-07,CME,BUY,218.13743819821616,212.77255755615235,46413.660624181575,46.36729333085072,2023-11-06
2023-11-07,MCK,BUY,99.80363838112766,461.71125,46080.46263149843,46.03442820329513,2023-11-06
2023-11-07,AMGN,BUY,125.6317509589411,273.2429712219238,34327.99291183384,34.29369921262123,2023-11-06
2023-11-07,PGR,BUY,172.40815326165375,159.159,27440.309264971547,27.412896368602947,2023-11-06
